Product_ID,Product_Category,Brand_Name,Product_Name,Product_Details,Origin,Ingredients,key_phrase_extract
100001,SHAMPOO,DOVE,DOVE BOTANIC BREAKAGE PROTECT SHAMPOO,"Japan Origin. Combat hair breakage with Dove Japan Hair Breakage Protection range and bring back a head of silky hair  stronger and smoother.
",Japan,Water  Sodium Laureth Sulfate  Cocamidopropyl Betaine  Sodium Chloride  Fragrance  Citric Acid  Sodium Benzoate  PPG-7  Guar Hydroxypropyltrimonium Chloride  Arginine  Polyquaternium-10  Glycerin  Disodium EDTA  Tocopheryl Acetate  Trehalose  Propylene Glycol  Ethoxydiglycol  Sodium Acetate  Isopropyl Alcohol  Hydrolyzed Keratin  Persea Gratissima  Avocado  Fruit Extract  Calendula Officinalis Flower Extract  Butylene Glycol  Lactic Acid  Glucose  Argania Spinosa Kernel Oil  Ascorbic Acid  Potassium Sorbate  Methylparaben  Caramel  Propylparaben,"['Dove Japan Hair Breakage Protection range', 'Combat hair breakage', 'Japan Origin', 'silky hair', 'head']"
100002,SHAMPOO,DOVE,DOVE BOTANIC SPLIT ENDS PROTECT SHAMPOO,Japan Origin. Looking for smooth and straight hair that is easy to look after  Dove Japan Straight and Split Ends Protection range is designed for frizzy  hair knot and split ends hair type  leave your hair smooth and shiny silkness.,Japan,Water  Sodium Laureth Sulfate  Cocamidopropyl Betaine  Sodium Chloride  Fragrance  Citric Acid  Sodium Benzoate  PPG-7  Guar Hydroxypropyltrimonium Chloride  Arginine  Polyquaternium-10  Glycerin  Disodium EDTA  Tocopheryl Acetate  Trehalose  Butylene Glycol  Sodium Acetate  Isopropyl Alcohol  Hydrolyzed Keratin  Nonfat Dry Milk  PEG-40 Hydrogenated Castor Oil  Trideceth-9  Oryza Sativa  Rice  Germ Oil  Oryza Sativa  Rice  Bran Extract  Nelumbo Nucifera Flower Extract  Simmondsia Chinensis  Jojoba  Seed Oil  Lactic Acid  1 2-Hexanediol  Caprylyl Glycol  Potassium Sorbate  Maltodextrin  Methylparaben  Sodium Hydroxide  Propylparaben,"['Split Ends Protection range', 'Dove Japan Straight', 'frizzy  hair knot', 'Japan Origin', 'straight hair', 'hair type', 'shiny silkness', 'smooth']"
100003,SHAMPOO,DOVE,DOVE LIGHT MOIST PURE SHAMPOO,China Origin. Dove Light Moisture & Purifying range  infused with natural sourced lotus extract  replenish essential nutrients. From the 1st use  it keeps hair smooth.,China,Ingredients: Water  Sodium Laureth Sulfate  Sodium Chloride  Cocamidopropyl Betaine  Glycerin  Dimethiconol  Fragrance  Sodium Benzoate  TEA-Dodecylbenzenesulfonate  Gluconolactone  Citric Acid  Guar Hydroxypropyltrimonium Chloride  Trehalose  Sodium Sulfate  Laureth-23  Coceth-7  PPG-1-PEG-9 Lauryl Glycol Ether  Cyclotetrasiloxane  Disodium EDTA  Cyclopentasiloxane  PEG-40 Hydrogenated Castor Oil  Benzophenone-4  Phenoxyethanol  Butylene Glycol  PPG-7  Hydroxypropyl Methylcellulose  CI 19140  Iodopropynyl Butylcarbamate  Nelumbo Nucifera Flower Extract  Gossypium Herbaceum  Cotton  Seed Oil  Sodium Hydroxide   CI 42090  Lactic Acid  CI 17200  Potassium Sorbate  Maltodextrin  Sodium Carbonate,"['natural sourced lotus extract', 'Dove Light Moisture', 'China Origin', 'Purifying range', 'essential nutrients', '1st use', 'hair']"
100004,SHAMPOO,DOVE,DOVE JAPAN AIRY MOISTURE SHAMPOO,"Japan Origin. Featuring Oxygen 1 that attracts moisture.
Advanced Moisture Oxygen formula unique to Dove  infused with oxygen-combined smooth moisture ingredient 2.
 1 Oxygen atom in the ingredient structure  2 Cation Guargum
Transparent shampoo washes your hair soft and fresh  preparing your hair for the next step of care after shampoo.

Subtle burst of elegant floral and fresh fruits.

Even the dry  spread and frizzy hair becomes this manageable.
Airy finish that is so lightly smooth and manageable.",Japan,Water  Sodium Laureth Sulfate  Cocamidopropyl Betaine  Sodium Chloride  Fragrance  Citric Acid  PPG-7  Guar Hydroxypropyltrimonium Chloride  Sodium Benzoate  Arginine  Polyquaternium-10  Glycerin  Disodium EDTA  Oleic Acid  Magnesium Nitrate  Sodium Acetate  Isopropyl Alcohol  Methylchloroisothiazolinone  Methylisothiazolinone  Hydrolyzed Keratin  Magnesium Chloride  Acetic Acid  Butylene Glycol  Collagen  Methylparaben  CI 42090  CI 61570  CI 17200  Propylparaben,"['oxygen-combined smooth moisture ingredient', 'Advanced Moisture Oxygen formula', 'ingredient structure', '1 Oxygen atom', 'Japan Origin', '2 Cation Guargum', 'next step', 'Subtle burst', 'elegant floral', 'fresh fruits', 'dry  spread', 'Airy finish', 'Transparent shampoo', 'frizzy hair', 'Dove', 'care']"
100005,SHAMPOO,DOVE,DOVE JAPAN RICH MOISTURE SHAMPOO,"Japan Origin. Dove’s unique advanced moisture oil formula  infused with moisture lipid  1 which is same as the component that naturally exists in hair.
Infused with moisture lipid that penetrates into the hair and Squalane 2 which cares for the surface of the hair.
 1 Oleic acid: moisture ingredient   2 Moisture ingredient
Transparent shampoo washes your hair soft and fresh  preparing your hair for the next step of care after shampoo.

Subtle burst of elegant floral and fresh fruits.

Even the dry  spread and frizzy hair becomes this manageable.
Rich finish that is soft and manageable.",Japan,Water  Sodium Laureth Sulfate  Cocamidopropyl Betaine  Sodium Chloride  Fragrance  Citric Acid  PPG-7  Guar Hydroxypropyltrimonium Chloride  Sodium Benzoate  Arginine  Polyquaternium-10  Glycerin  Disodium EDTA  Oleic Acid  Magnesium Nitrate  Sodium Acetate  Isopropyl Alcohol  Methylchloroisothiazolinone  Methylisothiazolinone  Hydrolyzed Keratin  Magnesium Chloride  Acetic Acid  Butylene Glycol  Squalane  CI 19140  Methylparaben  CI 17200  Propylparaben,"['unique advanced moisture oil formula', 'moisture lipid', 'moisture ingredient', 'Japan Origin', '1 Oleic acid', 'next step', 'Subtle burst', 'elegant floral', 'fresh fruits', 'dry  spread', 'Rich finish', 'Transparent shampoo', 'frizzy hair', 'Dove', 'component', 'Squalane', 'surface', 'care']"
100006,SHAMPOO,DOVE,DOVE SHAMPOO STRAIGHT&SILKY,Thailand Origin. With Pro-Moisture Complex  leaves hair straighter & manageable,Thailand,Water  Sodium Laureth Sulfate  Dimethiconol  Sodium Hydroxide  Sodium Chloride  Cocamidopropyl Betaine  Glycol Distearate  Fragrance  Sodium Benzoate  Glycerin  Carbomer  TEA-Dodecylbenzenesulfonate  TEA-Sulfate  Guar Hydroxypropyltrimonium Chloride  Mica  Cocamide MEA  Citric Acid  PEG-45M  Phenoxyethanol  Cyclotetrasiloxane  Disodium EDTA  Titanium Dioxide  Lysine HCl  Helianthus Annuus  Sunflower  Seed Oil  Arginine  Silica  Iodopropynyl Butylcarbamate  CI 19140  CI 15985  Methylchloroisothiazolinone  Methylisothiazolinone  Butylated Hydroxytoluene  Sodium Sulfate  Methylchloroisothiazolinone  Methylisothiazolinone  Butylated Hydroxytoluene,"['Thailand Origin', 'Pro-Moisture Complex', 'straighter']"
102001,SHAMPOO,VIDAL SASSOON,VIDAL SASSOON LIGHT & SOFT SMOOTH SHAMPOO,China Origin. Contains PPT can protect dry hair  moisturizing ingredients can clean and fully penetrate dry  fragile hair.,China,Water  Stearyl Alcohol  Bis-Aminopropyl Dimethicone  Benzyl Alcohol  Sodium Hydroxide  Rubus Fruticosus,"['dry hair  moisturizing ingredients', 'dry  fragile hair', 'China Origin', 'Contains', 'PPT']"
102002,SHAMPOO,VIDAL SASSOON,VIDAL SASSOON MOISTURIZING AD SHAMPOO,China Origin. Contains PPT can protect dry hair  moisturizing ingredients can clean and fully penetrate dry  fragile hair.,China,Water  Stearyl Alcohol  Bis-Aminopropyl Dimethicone  Benzyl Alcohol  Sodium Hydroxide  Rubus Fruticosus,"['dry hair  moisturizing ingredients', 'dry  fragile hair', 'China Origin', 'Contains', 'PPT']"
102003,SHAMPOO,VIDAL SASSOON,VIDAL SASSOON TEXTURIZED STRAIGHT SHAMPOO,China Origin. Light texture moisturizing formula makes hair feeling light and smooth and can with any hair style .,China,"Water  Sodium Laureth Sulfate  Sodium Chloride  Glycol Distearate/
Water  Bis-Aminopropyl  dimethicone  Stearyl Alcohol","['Light texture moisturizing formula', 'China Origin', 'hair style']"
102004,SHAMPOO,VIDAL SASSOON,VIDAL SASSOON MOISTURING TRT REPAIR SHAMPOO,China Origin. Contains PPT can protect dry hair  moisturizing ingredients can clean and fully penetrate dry  fragile hair.,China,Water  Stearyl Alcohol  Bis-Aminopropyl Dimethicone  Benzyl Alcohol  Sodium Hydroxide  Rubus Fruticosus,"['dry hair  moisturizing ingredients', 'dry  fragile hair', 'China Origin', 'Contains', 'PPT']"
